tier,id,wallet,name,tierV2,badges,streaming,portal_link
Obsidian,36634,0xfb6954ea6b0f8e9eea008a2cffc26eadce0e69aa,greenchain,16,21,yes,https://portal.abs.xyz/profile/0xfb6954ea6b0f8e9eea008a2cffc26eadce0e69aa
Obsidian,39713,0x161f91374506a85ed9063e90c4c217d8697d6471,Ely,16,37,yes,https://portal.abs.xyz/profile/0x161f91374506a85ed9063e90c4c217d8697d6471
Obsidian,43427,0x90d644bafa0dad528d89ebca2b2d2d51379a428c,Rebornmf,16,40,yes,https://portal.abs.xyz/profile/0x90d644bafa0dad528d89ebca2b2d2d51379a428c
Obsidian,70781,0x7fd643b7da56b3acb6a5a4e83a8818b14f195a50,marlomarlo,16,37,yes,https://portal.abs.xyz/profile/0x7fd643b7da56b3acb6a5a4e83a8818b14f195a50
Obsidian,74269,0x0dc12bad7e3d91da8d18860ca9ab76904560962d,MindfulMarketsOG,16,39,yes,https://portal.abs.xyz/profile/0x0dc12bad7e3d91da8d18860ca9ab76904560962d
Obsidian,80547,0xc9f27e68912aae40bb60c17b5634b3e74bbb16ab,Minebuu,16,42,yes,https://portal.abs.xyz/profile/0xc9f27e68912aae40bb60c17b5634b3e74bbb16ab
Obsidian,82173,0xc3ae9ac69d672368539413235938277ce19fc270,Bollin,17,41,yes,https://portal.abs.xyz/profile/0xc3ae9ac69d672368539413235938277ce19fc270
Obsidian,82323,0x69c4cc0147fbc23965896fb18a1ccea92230ed1b,afropengu,17,25,yes,https://portal.abs.xyz/profile/0x69c4cc0147fbc23965896fb18a1ccea92230ed1b
Obsidian,90544,0x886cbee36be572f21187b384b0ac716c560a4ccb,PudgyGang,16,27,yes,https://portal.abs.xyz/profile/0x886cbee36be572f21187b384b0ac716c560a4ccb
Obsidian,102627,0xd82311e0ddcff7cad1be090763d4f6d7ba1c290a,0xd82311e0ddcff7cad1be090763d4f6d7ba1c290a,16,27,yes,https://portal.abs.xyz/profile/0xd82311e0ddcff7cad1be090763d4f6d7ba1c290a
Obsidian,138741,0x7a84af82a3d5c913fc42f333d709fe706160e258,FroggyCyborg,16,39,yes,https://portal.abs.xyz/profile/0x7a84af82a3d5c913fc42f333d709fe706160e258
Obsidian,223503,0x122572e5a9ac036292a113c65f1d8c62d4f95f2e,Amyqueen,16,26,no,https://portal.abs.xyz/profile/0x122572e5a9ac036292a113c65f1d8c62d4f95f2e
Obsidian,263118,0xba5257e72de3901db065e340f96bea9479b45b5e,sayyes,16,40,yes,https://portal.abs.xyz/profile/0xba5257e72de3901db065e340f96bea9479b45b5e
